"Env","Name","Portal Url"
"adam","Pathify University","https://adam.pathify.com"
"internal","Pathify University","https://internal.pathify.com"
"demo","Pathify University","https://demo.pathify.com"
"pentest","Pathify University","https://pentest.pathify.com"
"product","Pathify University","https://product.pathify.com"
"qa-aamu","Pathify University","https://qa-aamu.pathify.com"
"qa-albany","Pathify University","https://qa-albany.pathify.com"
"qa-augusta","Augusta University","https://qa-augusta.pathify.com"
"qa-agnesscott","Agnes Scott College","https://qa-agnesscott.pathify.com"
"qa-braven","Braven","https://my.staging.braven.org"
"qa-bradley","Pathify University","https://qa-bradley.pathify.com"
"qa-athens","Pathify University","https://qa-athens.pathify.com"
"qa-allegheny","Pathify University","https://qa-allegheny.pathify.com"
"qa-bsu","Pathify University","https://qa-bsu.pathify.com"
"qa-atc","Pathify University","https://qa-atc.pathify.com"
"qa-ccu","Colorado Christian University","https://qa-ccu.ucroo.org"
"qa-breadloaf","Pathify University","https://qa-breadloaf.pathify.com"
"qa-ccis","Columbia College","https://qa-ccis.pathify.com"
"qa-belhaven","Pathify University","https://qa-belhaven.pathify.com"
"qa-chaffey","Chaffey College","https://qa-chaffey.pathify.com"
"qa-byuh","BYU–Hawaii","https://qa-byuh.pathify.com"
"qa-cooley","Cooley Law School","https://qa-cooley.pathify.com"
"qa-cuw","Concordia University Portal","https://qa-cuw.pathify.com"
"qa-egsc","East Georgia State College","https://qa-egsc.ucroo.org"
"qa-campbell","Pathify University","https://qa-campbell.pathify.com"
"qa-dalhousie","Pathify University","https://qa-dalhousie.pathify.com"
"qa-graceland","Pathify University","https://qa-graceland.pathify.com"
"qa-felician","Pathify University","https://qa-felician.pathify.com"
"qa-cei","Pathify University","https://qa-cei.pathify.com"
"qa-colgate","Pathify University","https://qa-colgate.pathify.com"
"qa-dis","Pathify University","https://qa-dis.pathify.com"
"qa-edaff","EdAff QA","https://qa-edaff.pathify.com"
"qa-ferris","Pathify University","https://qa-ferris.pathify.com"
"qa-central","Pathify University","https://qa-central.pathify.com"
"qa-clovis","Pathify University","https://qa-clovis.pathify.com"
"qa-byui","BYU Idaho","https://qa-byui.pathify.com"
"dev-deloitte","Pathify University","https://engage.hbcuvt.org"
"qa-concord","Concord University","https://qa-concord.ucroo.org"
"qa-hsu","Pathify University","https://qa-hsu.pathify.com"
"qa-ccad","Pathify University","https://qa-ccad.pathify.com"
"qa-iit","Pathify University","https://qa-iit.pathify.com"
"qa-irsc","Indian River State College","https://qa-irsc.pathify.com"
"qa-gwu","The George Washington University","https://qa-gwu.pathify.com"
"qa-cui","Concordia University Irvine","https://qa-cui.pathify.com"
