"Env","Name","Portal API Url"
"emily","Training Team Portal","https://emily.pathify.com/api"
"asub","Pathify University","https://asub.pathify.com/api"
"asumids","Pathify University","https://asumids.pathify.com/api"
"asutr","Pathify University","https://asutr.pathify.com/api"
"asumh","Pathify University","https://asumh.pathify.com/api"
"demo","Pathify University","https://api.demo.pathify.com"
"stjohns","St. Johns University","https://connect.stjohns.edu/api"
"sales-demo","Pathify University","https://sales-demo.pathify.com/api"
"community","Collegium","https://collegium.pathify.com/api"
"henderson","Pathify University","https://henderson.pathify.com/api"
"aamu","Alabama A&M","https://api.my.aamu.edu"
"mitsloan","Pathify University","https://mitsloan.pathify.com/api"
"troy","Troy University","https://one.troy.edu/api"
"washcoll","Washington College","https://my.washcoll.edu/api"
"astate","Pathify University","https://pack.astate.edu/api"

