short_name,id,conversation,flow_id,timestamp,content,answer_type,failed,author
stjohns,1,1,F38211883137QDUCKE,2025-01-21T22:25:06.797000Z,What is my GPA?,,False,USER
stjohns,2,1,F38211883138XFAMLP,2025-01-21T22:25:07.797000Z,backend call: GPA,VERIFIED,False,CHATBOT
stjohns,3,2,F382118841665YTP21,2025-01-21T22:28:45.996000Z,What is my gpa?,,False,USER
stjohns,4,2,F38211884167ZCDPPY,2025-01-21T22:28:46.996000Z,backend call: GPA,VERIFIED,False,CHATBOT
stjohns,5,2,F672655459266TA1NPW,2025-01-21T22:29:00.041000Z,Who are my advisors?,,False,USER
stjohns,6,2,F6726554592673SFG1E,2025-01-21T22:29:01.041000Z,backend call: academic advisor,VERIFIED,False,CHATBOT
stjohns,7,2,F38211884424Z5YG4I,2025-01-21T22:29:17.658000Z,Do I have any holds?,,False,USER
stjohns,8,2,F38211884425R4VRA0,2025-01-21T22:29:18.658000Z,backend call: hold,VERIFIED,False,CHATBOT
stjohns,9,2,F38211884697A3JI4V,2025-01-21T22:29:41.216000Z,What is my balance?,,False,USER
stjohns,10,2,F382118846981ZNKNQ,2025-01-21T22:29:42.216000Z,backend call: balance,VERIFIED,False,CHATBOT
stjohns,11,2,F38211884948ZXG05Q,2025-01-21T22:30:05.606000Z,What is my class schedule?,,False,USER
stjohns,12,2,F38211884949JQYWIK,2025-01-21T22:30:06.606000Z,backend call: schedule,VERIFIED,False,CHATBOT
stjohns,13,3,F596818465133ULCSP5,2025-01-21T22:30:56.122000Z,What is my schedule?,,False,USER
stjohns,14,3,F596818465134OVQVD5,2025-01-21T22:30:57.122000Z,backend call: schedule,VERIFIED,False,CHATBOT
stjohns,15,4,F38212043648YZOBW2,2025-01-21T22:33:18.817000Z,I'd like to rate this conversation.,,False,USER
stjohns,16,4,F38212043649V20ZWL,2025-01-21T22:33:19.817000Z,I appreciate your feedback!  Please let me know how I did.,OPEN_DOMAIN,False,CHATBOT
stjohns,17,5,F38212157155NPH2EB,2025-01-21T22:35:11.556000Z,I’d like to rate this conversation too.,,False,USER
stjohns,18,5,F38212157156ZIR24E,2025-01-21T22:35:12.556000Z,I appreciate your feedback!  Please let me know how I did.,OPEN_DOMAIN,False,CHATBOT
stjohns,19,6,F38212240080W05PNT,2025-01-21T22:38:25.936000Z,Greetings!,,False,USER
stjohns,20,6,F38212240081ZKFIRZ,2025-01-21T22:38:26.936000Z,Greetings!  How can I help you today?,OPEN_DOMAIN,False,CHATBOT
stjohns,21,7,F796578856619HWLZ5L,2025-01-21T22:39:42.122000Z,Getting there.,,False,USER
stjohns,22,7,F796578856620CB5CXG,2025-01-21T22:39:43.122000Z,"St. John's University has several campuses.  To best assist you with directions, could you please specify which campus you're interested in visiting?",OPEN_DOMAIN,False,CHATBOT
stjohns,23,8,F796578856919PLRLXE,2025-01-21T22:40:32.457000Z,Use this chat to test my responses with different relevance & weight values.,,False,USER
stjohns,24,8,F796578856920U5XE50,2025-01-21T22:40:33.457000Z,"Okay, I understand.  I'm ready to answer your questions about St. John's University, keeping in mind the constraints I've been given. Please ask away!",OPEN_DOMAIN,False,CHATBOT
stjohns,25,9,F796578863325FO5ML4,2025-01-21T22:42:47.121000Z,One last time.,,False,USER
stjohns,26,9,F796578863326KEYO2F,2025-01-21T22:42:48.121000Z,"Okay, I'm ready for your request.",OPEN_DOMAIN,False,CHATBOT
stjohns,27,10,F716899975003HOVJ4A,2025-01-22T16:17:36.757000Z,Can you find people in the directory?,,False,USER
stjohns,28,10,F716899975004TNBH5X,2025-01-22T16:17:37.757000Z,I do not have access to a St. John's University directory.,OPEN_DOMAIN,False,CHATBOT
stjohns,29,10,F421735145331MLRIK0,2025-01-22T16:17:59.675000Z,"Within Connect, there is a Directory. Can you access people in it?",,False,USER
stjohns,30,10,F421735145332RQ31IR,2025-01-22T16:18:00.675000Z,I do not have access to Connect or its directory.  I can only access St. John's University student information through the backend systems I've been given access to.,OPEN_DOMAIN,False,CHATBOT
stjohns,31,10,F42173514707351MDAD,2025-01-22T16:18:16.302000Z,Find me information on Brendan Monahan.,,False,USER
stjohns,32,10,F42173514707412R2AP,2025-01-22T16:18:17.302000Z,"I do not have access to personal information about students or faculty at St. John's University.  To protect privacy, I cannot provide details about Brendan Monahan or anyone else.",OPEN_DOMAIN,False,CHATBOT
stjohns,33,10,F421735147344R35QCV,2025-01-22T16:18:31.726000Z,How can I email professor Alvarado?,,False,USER
stjohns,34,10,F421735147345NYMNID,2025-01-22T16:18:32.726000Z,"I do not have access to contact information for faculty.  You can likely find Professor Alvarado's email address on the St. John's University website, possibly through the department website for their subject area or on the university's faculty directory.",OPEN_DOMAIN,False,CHATBOT
stjohns,35,11,F421735148268TFHID3,2025-01-22T16:20:19.496000Z,Who is Roger So?,,False,USER
stjohns,36,11,F421735148269UVQDNJ,2025-01-22T16:20:20.496000Z,"I do not have access to personal information about St. John's University faculty or staff.  If you need to contact a specific professor, you can find their contact information on the university's website.",OPEN_DOMAIN,False,CHATBOT
stjohns,37,11,F7168999950450DIBOO,2025-01-22T16:20:35.424000Z,How do I change my major?,,False,USER
stjohns,38,11,F716899995046L5RZQC,2025-01-22T16:20:36.424000Z,"To change your major at St. John's University, you should first meet with your academic advisor to discuss your options and the requirements for your desired major.  They can help you navigate the process and ensure you're on the right track.  You'll likely need to complete a form and possibly meet with the department chair of your intended major.  The specific procedures may vary depending on your current major and the one you wish to switch to.",OPEN_DOMAIN,False,CHATBOT
stjohns,39,10,F240977828995XNEDLO,2025-01-22T16:28:40.403000Z,what is my gpa,,False,USER
stjohns,40,10,F240977828996G4BAOM,2025-01-22T16:28:41.403000Z,backend call: GPA,VERIFIED,False,CHATBOT
stjohns,41,10,F716900033932QANZ22,2025-01-22T16:29:09.015000Z,How do I register for courses?,,False,USER
stjohns,42,10,F716900033933A4DJVC,2025-01-22T16:29:10.015000Z,"To register for courses at St. John's University, you'll typically need to log into the university's student portal.  The exact process might involve navigating to a registration section, selecting the term, searching for courses, adding them to your shopping cart, and then submitting your selections.  Specific instructions and deadlines are usually available on the university's website or student handbook.",OPEN_DOMAIN,False,CHATBOT
stjohns,43,12,F4217351936095SY50G,2025-01-22T16:35:54.441000Z,What is the value of pi to the 39th value,,False,USER
stjohns,45,13,F421735204950FZIE1M,2025-01-22T16:38:29.555000Z,I need to contact Eric Alvarado,,False,USER
stjohns,44,12,F421735193610QBABBS,2025-01-22T16:35:55.441000Z,I do not have the capacity to calculate pi to the 39th decimal place.  My knowledge is not a comprehensive database of mathematical constants to that level of precision.,OPEN_DOMAIN,False,CHATBOT
